,name,start,end,college,lon,lat,loc,info,loc_type,desc
641,卢展工,2001,2002,,119.3,26.08,福建省福州市福州市,福建省委,1,"2001—2002,　福建省委副书记"
642,卢展工,2002,2003,,119.3,26.08,福建省福州市福州市,福建省委,1,"2002—2003,　福建省委副书记、代省长"
643,卢展工,2003,2004,,119.3,26.08,福建省福州市福州市,福建省委,1,"2003—2004,　福建省委副书记、省长"
644,卢展工,2004,2004,,119.3,26.08,福建省福州市福州市,福建省委,1,"2004—2004,　福建省委代理书记、省长"
645,卢展工,2004,2005,,119.3,26.08,福建省福州市福州市,福建省委,1,"2004—2005,　福建省委书记"
646,卢展工,2005,2009,,119.3,26.08,福建省福州市福州市,人大常委会,1,"2005—2009,　福建省委书记、省人大常委会主任[2]"
647,卢展工,2009,2013,,113.62,34.75,河南省郑州市郑州市,人大常委会,1,"2009—2013,　河南省委书记、省人大常委会主任"
648,白春礼,1970,1974,,111.73,40.83,内蒙古自治区呼和浩特市呼和浩特市,内蒙古,1,"1970.09—1974.09,内蒙古生产建设兵团二师十八团机运连司机、文书；"
649,白春礼,1974,1978,北京大学,116.4,39.9,北京市北京市北京市,北京大学,1,"1974.09—1978.01,北京大学化学系催化专业学习；"
650,白春礼,1978,1978,,125.32,43.9,吉林省长春市长春市,长春,3,"1978.01—1978.10,中国科学院长春应用化学研究所研究实习员；"
651,白春礼,1978,1981,,116.4,39.9,北京市北京市北京市,中国科学院,0,"1978.10—1981.12,中国科学院化学研究所结构化学专业硕士研究生、研究实习员；"
652,白春礼,1981,1985,,116.4,39.9,北京市北京市北京市,中国科学院,0,"1981.12—1985.09,中国科学院化学研究所结构化学专业博士研究生、助理研究员；"
653,白春礼,1985,1987,,116.4,39.9,北京市北京市北京市,美国加州理工学院,0,"1985.09—1987.11,美国加州理工学院博士后和访问学者,在喷气推进实验室从事真空扫描隧道显微境（STM）研究；"
654,白春礼,1987,1992,,116.4,39.9,北京市北京市北京市,中国科学院,0,"1987.11—1992.07,中国科学院化学研究所助理研究员、副研究员、研究员、STM实验室主任（1991.10—1992.04日本东北大学金属材料研究所客座教授）；"
655,白春礼,1992,1996,,116.4,39.9,北京市北京市北京市,中国科学院,0,"1992.07—1996.03,中国科学院化学研究所副所长,党委委员；"
